"GG Langtext","DST Langtext","Förderprogramm","Postleitzahl","Ausbezahlte Fördersumme","Anzahl der Förderfälle","jahr"
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1020",23600,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1080",12200,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1030",13300,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",54000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",47700,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1060",11700,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1020",19500,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1160",38800,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1030",117900,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1070",9e+05,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Wienweite spezielle Angebote (zentral)","1080",54000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1170",386700,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1170",80000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1190",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1170",4900,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1100",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1010",70000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1030",213840,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1090",57300,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1080",83000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1140",79700,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1090",680480,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1040",521000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1080",17800,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1070",385560,1,2024
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Wiener Sprachgutscheine ","#",74200,506,2024
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1090",4250,1,2024
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1150",2320,1,2024
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1130",2890,1,2024
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1220",1950,1,2024
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1100",2600,1,2024
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1020",38806,1,2024
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1070",260000,1,2024
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1030",113975,1,2024
